Rating,movieId
3.0,254726
4.0,193942
4.0,103372
5.0,83086
3.0,286029
4.0,111443
4.5,5066
3.5,286783
2.5,287635
3.0,148172
4.5,58047
2.0,215527
3.0,200306
4.0,8362
3.5,104374
3.0,288269
2.5,188797
3.5,82167
1.5,1923
4.0,68954
2.0,8869
3.0,35957
3.0,177615
3.0,59315
3.5,77561
2.0,86332
3.0,88140
3.5,89745
3.0,102125
2.0,106072
3.0,122892
3.0,110102
2.5,122900
3.5,122920
2.5,122922
3.0,122916
3.0,122906
3.5,122912
2.5,188301
4.0,122914
3.0,242774
2.0,277566
3.0,90576
3.0,86817
3.5,4963
1.5,117456
2.5,8984
2.5,210859
2.5,145
1.5,62439
3.0,92507
2.0,53002
4.0,593
1.5,1343
3.0,59333
2.0,165347
3.5,48516
3.0,5418
2.5,8665
2.5,74458
2.0,66203
1.5,177225
4.0,628
2.5,6
2.5,5620
3.0,2432
2.5,178667
3.0,97998
3.0,198149
2.5,111360
3.5,208096
5.0,318
3.5,4993
3.0,6810
2.5,78264
3.5,1092
3.5,48780
4.0,2762
0.5,242896
2.5,76079
3.0,3825
3.0,50802
1.5,2485
