Rating,movieId
4.0,97225
4.0,251086
5.0,250010
3.5,79702
5.0,112552
4.5,184399
4.5,207313
5.0,167746
3.5,218537
3.5,1682
3.5,158238
4.0,223204
3.5,258451
4.5,156387
4.0,255335
2.0,263005
5.0,268642
4.0,269638
3.0,244178
3.0,260665
2.5,52287
3.0,242906
3.0,272525
5.0,215
4.0,270698
3.5,275079
4.0,274053
5.0,168250
3.5,273891
2.5,274971
3.5,166528
1.5,5378
2.5,88163
4.5,275483
2.5,198151
1.0,63992
3.5,275245
2.5,278312
2.0,276897
3.0,279334
3.0,279414
3.0,260617
4.0,122906
4.0,122912
3.5,278820
4.5,278702
4.5,279812
2.0,282561
3.5,282161
4.5,278446
4.5,278980
4.0,281096
3.0,224264
4.0,275503
4.0,283873
3.5,205383
5.0,8974
4.0,285851
3.0,286131
4.0,112852
4.5,122918
3.5,263007
4.5,285593
3.5,54256
5.0,286897
4.0,80463
5.0,1270
4.0,287633
4.5,1198
5.0,1291
3.0,59615
3.0,286905
1.5,3623
4.0,111781
4.5,288265
2.0,286901
4.5,288513
3.5,288861
4.0,1
2.0,2628
3.0,33493
4.0,187595
4.5,260
3.0,143859
4.0,4816
5.0,2859
5.0,1196
3.5,97913
4.5,283577
4.5,287699
4.0,104374
5.0,480
4.5,266002
4.0,90746
3.5,2863
3.0,280474
3.0,44761
5.0,2083
3.0,91500
3.5,287743
4.5,586
4.0,122886
3.0,2953
4.0,5618
1.0,148172
2.5,286783
4.5,179819
4.0,254726
4.0,8961
3.5,648
3.5,54272
3.0,45186
4.0,91630
5.0,189333
4.0,122882
3.0,88744
4.0,112623
4.5,173145
3.0,2529
1.5,69644
2.0,157385
3.5,45837
5.0,3114
4.0,159755
4.0,134853
3.0,114074
3.5,1580
2.5,5459
3.0,94777
4.0,78499
4.0,8636
4.0,110297
4.5,356
4.0,111362
3.0,285301
3.0,8907
4.5,171763
4.5,60069
3.0,93510
2.5,56174
3.5,6942
3.0,6936
4.0,2791
4.0,3676
3.5,88140
3.5,106918
4.0,110102
3.0,673
3.5,122920
2.0,282125
3.5,56805
