Rating,movieId
5.0,3535
1.5,102123
4.0,1274
4.0,741
4.0,201646
4.5,2959
4.5,201340
4.0,268642
4.0,140267
4.5,3000
3.5,50872
3.5,1
3.5,111
2.5,263007
4.0,263405
3.5,207313
3.0,202393
4.5,202439
3.5,195159
4.0,174727
4.0,115713
4.0,115569
4.0,109374
2.0,105504
4.5,55820
4.0,171749
5.0,4993
4.0,3949
4.0,4016
4.0,2329
4.0,5618
4.0,2028
3.0,6242
4.5,281190
4.0,279812
4.0,101
3.5,1080
4.0,1136
2.5,130516
2.5,96975
3.5,261809
4.0,293
3.5,212373
3.5,173197
3.5,3676
3.0,54259
2.0,160954
3.5,278702
3.5,65261
3.0,5291
3.5,69134
3.5,106916
3.5,234075
4.0,115149
3.5,168248
3.5,200818
4.5,56782
5.0,7153
4.5,5952
4.0,183897
2.5,5026
3.0,280990
3.0,1259
2.5,1232
3.0,27416
4.0,1246
2.5,71535
3.0,197875
3.5,244178
4.0,278446
3.5,3578
4.0,7361
2.0,31696
4.0,55269
2.0,79702
3.0,122904
2.0,187593
4.0,63072
4.5,194448
3.5,1884
4.0,356
4.0,2395
3.0,1199
3.0,2167
3.5,2455
4.5,158966
3.5,223204
4.0,68954
4.0,364
4.0,163134
4.5,183869
4.0,106920
3.0,2459
4.0,47
4.5,527
3.0,1285
3.5,54503
3.5,171763
4.0,88129
4.0,1732
4.0,4878
4.0,164179
4.0,204698
3.0,94864
4.0,541
4.5,1214
4.0,66097
4.0,31658
3.5,1206
4.5,1258
4.0,4226
3.5,74458
4.0,106782
4.0,99114
3.0,31270
3.5,68157
4.5,6874
4.5,7438
4.0,202429
4.5,296
3.5,136602
4.0,27773
3.5,242906
4.0,76093
4.0,283873
4.0,133771
4.0,225984
3.0,4262
4.0,104879
3.0,7458
4.0,171765
3.0,204152
4.0,210861
3.5,1682
3.0,263407
3.5,205383
3.5,48774
2.5,38839
3.5,2951
4.0,3681
3.5,241272
4.0,152081
4.0,193944
4.0,193449
3.5,6807
3.0,168266
4.0,778
3.5,286355
3.5,84234
4.5,1201
3.0,4487
4.5,287633
2.0,276929
3.5,94959
3.5,41912
4.5,208703
3.0,204704
4.0,204318
3.0,117887
2.5,103688
2.5,80549
2.5,76251
2.0,71205
3.5,59784
3.0,51255
3.5,33794
4.5,46578
4.5,5995
2.5,1573
3.5,480
3.0,1394
3.5,1208
5.0,72226
5.0,30810
5.0,1213
3.0,148626
4.0,1270
3.0,2011
3.0,2012
4.0,134853
3.5,2394
4.0,55444
3.5,551
3.5,98809
2.5,118696
2.5,106489
4.0,275841
3.5,159717
4.0,127202
3.0,168250
4.5,112552
4.0,260201
4.5,4027
2.5,280218
4.5,288513
3.5,112183
4.0,1209
2.5,188623
4.0,4439
3.5,108729
2.5,344
4.0,1907
3.5,78626
3.0,1587
3.0,5040
3.5,198147
3.5,81847
3.0,1721
3.0,111921
4.5,4979
3.0,45517
4.5,92259
2.5,8907
3.5,4011
4.5,96829
3.5,273891
4.0,159415
4.5,270698
4.0,593
3.0,241960
4.0,1968
3.5,197651
3.5,7451
4.0,8874
4.0,1348
4.5,6818
4.0,266002
4.0,48394
3.0,441
3.5,2116
4.5,3483
4.5,3034
4.0,267456
4.0,31364
3.5,110461
4.0,6291
3.5,7034
3.5,51277
3.5,2140
3.0,8340
3.5,69757
5.0,254726
4.0,1676
5.0,192383
3.0,36247
5.0,1203
4.5,111443
3.0,34405
3.5,2916
3.5,119145
4.0,5444
3.0,3018
4.5,57669
2.0,1881
3.0,1200
2.0,1320
2.5,1690
3.5,8957
3.5,39446
4.0,1997
3.0,48877
3.0,63992
1.5,112727
3.0,3917
3.0,1343
4.0,208939
4.0,1036
3.0,271631
2.0,186587
3.0,141718
4.0,189713
