Date,Name,Year,Letterboxd URI,Rating
2020-08-25,Interstellar,2014,https://boxd.it/4VZ8,5
2020-08-25,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2020-08-25,Parasite,2019,https://boxd.it/hTha,5
2020-08-25,The Dark Knight,2008,https://boxd.it/2b0k,5
2020-08-25,Baby Driver,2017,https://boxd.it/bhF2,3.5
2020-08-25,Rocky,1976,https://boxd.it/28Uk,3
2020-08-25,The Prestige,2006,https://boxd.it/293w,4.5
2020-08-25,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2020-08-25,The Dark Knight Rises,2012,https://boxd.it/H3m,3.5
2020-10-05,American Murder: The Family Next Door,2020,https://boxd.it/rUk0,2.5
2021-06-13,Bo Burnham: Inside,2021,https://boxd.it/v2uy,5
2021-08-13,Bird Box,2018,https://boxd.it/eh1i,2
2021-08-13,Dave Chappelle: Deep in the Heart of Texas,2017,https://boxd.it/fPi0,3.5
2021-08-13,Seaspiracy,2021,https://boxd.it/u9rE,4
2021-08-13,Icarus,2017,https://boxd.it/fmje,4
2021-08-13,The Social Dilemma,2020,https://boxd.it/opQI,2.5
2021-08-13,Okja,2017,https://boxd.it/dvXe,4
2021-08-13,Bright,2017,https://boxd.it/e1H8,1.5
2021-08-13,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2021-08-13,Gone Girl,2014,https://boxd.it/6hQu,4.5
2021-09-19,Dune,2021,https://boxd.it/fA7G,5
2021-09-19,Free Guy,2021,https://boxd.it/k8dm,3.5
2021-09-19,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2021-09-19,The Lion King,1994,https://boxd.it/201Q,4
2021-09-19,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4.5
2021-09-19,Forrest Gump,1994,https://boxd.it/728,4.5
2021-09-19,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4.5
2021-09-19,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2021-09-19,No Country for Old Men,2007,https://boxd.it/21ew,5
2021-09-19,WALL·E,2008,https://boxd.it/1VEo,4.5
2021-09-19,Die Hard,1988,https://boxd.it/2a7u,3.5
2021-09-19,Heat,1995,https://boxd.it/2bg8,4
2021-09-19,The Matrix,1999,https://boxd.it/2a1m,4
2021-09-19,Gladiator,2000,https://boxd.it/2b9m,4
2021-09-19,Up,2009,https://boxd.it/1OEc,4
2021-09-19,Django Unchained,2012,https://boxd.it/2cCk,4.5
2021-09-19,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2022-06-13,Top Gun: Maverick,2022,https://boxd.it/cjr4,3.5
2022-06-13,1917,2019,https://boxd.it/jj4y,3.5
2022-06-13,Arrival,2016,https://boxd.it/aNGk,4
2023-06-07,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-08-21,Oppenheimer,2023,https://boxd.it/wUow,4.5
2023-08-21,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4
2023-08-21,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-08-21,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2023-08-21,The Shining,1980,https://boxd.it/29Nu,3.5
2023-08-21,The Truman Show,1998,https://boxd.it/18U8,4
2023-08-21,Midsommar,2019,https://boxd.it/jhxe,4
2023-08-21,Kill Bill: Vol. 1,2003,https://boxd.it/70w,3
2023-08-21,American Psycho,2000,https://boxd.it/28Vs,4.5
2023-08-21,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,3
2023-08-21,Moonlight,2016,https://boxd.it/d6bE,4
2023-08-21,Shutter Island,2010,https://boxd.it/1U82,4
2023-08-21,Mad Max: Fury Road,2015,https://boxd.it/2DjO,3.5
2023-08-21,The Big Lebowski,1998,https://boxd.it/2b6C,3.5
2023-08-21,Titanic,1997,https://boxd.it/2a2k,3.5
2023-08-21,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2023-08-21,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2023-08-21,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2023-08-21,Avengers: Infinity War,2018,https://boxd.it/9vEe,3.5
2023-08-21,Memento,2000,https://boxd.it/2bcK,4
2023-08-21,Hot Fuzz,2007,https://boxd.it/2416,3
2023-08-21,Spider-Man 2,2004,https://boxd.it/2a88,3.5
2023-08-21,My Neighbor Totoro,1988,https://boxd.it/20eA,3.5
2023-08-21,Avatar,2009,https://boxd.it/1Efm,3.5
2023-08-21,Zodiac,2007,https://boxd.it/27MO,4
2023-08-21,It,2017,https://boxd.it/bC8e,3.5
2023-08-21,Free Solo,2018,https://boxd.it/iEEq,4
2023-09-17,Alien,1979,https://boxd.it/2awY,4.5
2023-09-17,Us,2019,https://boxd.it/gnV6,3.5
2023-09-17,Aliens,1986,https://boxd.it/29PA,4
2023-09-17,Fight Club,1999,https://boxd.it/2a9q,4
2023-09-17,Joker,2019,https://boxd.it/h4cS,3.5
2023-09-17,Avatar: The Way of Water,2022,https://boxd.it/2E2E,3
2023-09-17,Pride & Prejudice,2005,https://boxd.it/24u8,4
2023-09-17,Tenet,2020,https://boxd.it/leq4,3.5
2023-09-17,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3.5
2023-09-17,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3.5
2023-09-17,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2023-09-17,John Wick: Chapter 4,2023,https://boxd.it/mh48,2.5
2023-09-17,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,3.5
2023-09-17,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,3.5
2023-09-17,The Avengers,2012,https://boxd.it/1xFW,3
2023-09-17,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,4
2023-09-17,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3.5
2023-09-17,Iron Man,2008,https://boxd.it/28dA,4
2023-09-17,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3
2023-09-17,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,4
2023-09-17,The Martian,2015,https://boxd.it/8SeG,3
2023-09-17,Annihilation,2018,https://boxd.it/9yzm,3.5
2023-09-17,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3
2023-09-17,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,2
2023-09-17,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,3.5
2023-09-17,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,2.5
2023-09-17,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,2
2023-09-17,Snowpiercer,2013,https://boxd.it/3Icg,4
2023-09-17,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk,3
2023-09-17,Alien³,1992,https://boxd.it/20zS,2.5
2023-09-17,Iron Man 3,2013,https://boxd.it/2cBQ,3
2023-09-17,The Babadook,2014,https://boxd.it/77xu,3.5
2023-09-17,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,3
2023-09-17,The Cabin in the Woods,2011,https://boxd.it/1zOc,3.5
2023-09-17,The Queen's Gambit,2020,https://boxd.it/s1Ym,4.5
2023-09-17,Annabelle,2014,https://boxd.it/7l84,2.5
2023-09-17,Gravity,2013,https://boxd.it/GZY,3
2023-09-17,12 Years a Slave,2013,https://boxd.it/2D2e,4
2023-09-17,Chernobyl,2019,https://boxd.it/mkbG,5
2023-09-17,8 Mile,2002,https://boxd.it/2bew,3.5
2023-09-17,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,3
2023-09-17,Rain Man,1988,https://boxd.it/2avw,3.5
2023-09-17,Ad Astra,2019,https://boxd.it/ePzI,3
2023-09-17,Let the Right One In,2008,https://boxd.it/1Qr0,4
2023-09-17,127 Hours,2010,https://boxd.it/SLa,2.5
2023-09-17,The Adam Project,2022,https://boxd.it/q2Dg,3
2023-09-17,A Quiet Place,2018,https://boxd.it/fVJQ,4
2023-09-17,A Quiet Place Part II,2020,https://boxd.it/iTx0,3.5
2023-09-17,The Day After Tomorrow,2004,https://boxd.it/2aog,3
2023-09-17,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW,2.5
2023-09-17,Focus,2015,https://boxd.it/7zl2,3
2023-09-17,Oculus,2013,https://boxd.it/4W9M,3
2023-09-17,American History X,1998,https://boxd.it/2bdo,4
2023-09-17,Amélie,2001,https://boxd.it/2aUc,4
2023-09-17,The Exorcist,1973,https://boxd.it/1Yoo,4
2023-09-17,Knives Out,2019,https://boxd.it/jWEA,3.5
2023-09-17,Klaus,2019,https://boxd.it/ipoi,4
2023-09-17,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3.5
2023-09-17,Planet Earth,2006,https://boxd.it/5Nx8,4.5
2023-09-17,Planet Earth II,2016,https://boxd.it/eS8g,4.5
2023-09-17,Blue Planet II,2017,https://boxd.it/gACc,4.5
2023-09-17,Our Planet,2019,https://boxd.it/mwuq,4.5
2023-10-09,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2024-01-14,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4.5
2024-01-14,Split,2016,https://boxd.it/dgSy,3.5
2024-02-26,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2024-02-26,Whiplash,2014,https://boxd.it/7bQA,4.5
2024-02-26,Se7en,1995,https://boxd.it/29zs,4.5
2024-03-03,Catch Me If You Can,2002,https://boxd.it/29VS,4
2024-03-03,Trainspotting,1996,https://boxd.it/29XY,4
2024-03-03,Lilya 4-ever,2002,https://boxd.it/1SyW,4
2024-03-03,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,3
2024-03-04,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-03-11,Memories of Murder,2003,https://boxd.it/1TSo,4.5
2024-03-11,Show Me Love,1998,https://boxd.it/1TmW,3.5
2024-03-11,Together,2000,https://boxd.it/29JW,4
2024-03-11,We Are the Best!,2013,https://boxd.it/5Mek,3.5
2024-03-11,Slim Susie,2003,https://boxd.it/1TMK,4.5
2024-03-11,Inception,2010,https://boxd.it/1skk,4
2024-03-11,In Time,2011,https://boxd.it/FPS,3
2024-03-11,Thor: Love and Thunder,2022,https://boxd.it/mMAY,3
2024-03-11,The Big Short,2015,https://boxd.it/ajZw,4
2024-03-11,Now You See Me,2013,https://boxd.it/2Bsu,3
2024-03-11,Don't Look Up,2021,https://boxd.it/o0Hc,3.5
2024-03-11,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3.5
2024-03-11,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2024-03-11,Asteroid City,2023,https://boxd.it/s3ds,3.5
2024-03-11,Little Women,2019,https://boxd.it/aSVk,4
2024-03-11,Captain America: Civil War,2016,https://boxd.it/89Ja,3
2024-03-11,Thor: Ragnarok,2017,https://boxd.it/8MHi,3.5
2024-03-11,Captain Marvel,2019,https://boxd.it/9vSA,2.5
2024-03-11,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3
2024-03-11,Iron Man 2,2010,https://boxd.it/1WZM,3
2024-03-11,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2024-03-11,Tropic Thunder,2008,https://boxd.it/20WM,3.5
2024-03-11,It Chapter Two,2019,https://boxd.it/h10u,3
2024-03-11,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,3.5
2024-03-11,Triangle of Sadness,2022,https://boxd.it/hXlq,3.5
2024-03-11,The Hunger Games,2012,https://boxd.it/2uds,3
2024-03-11,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,2.5
2024-03-11,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,2.5
2024-03-11,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,3
2024-03-11,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,2.5
2024-03-11,Men in Black,1997,https://boxd.it/2a0I,3.5
2024-03-11,I Am Legend,2007,https://boxd.it/21DG,3.5
2024-03-11,Men in Black II,2002,https://boxd.it/2a0y,2.5
2024-03-11,"I, Robot",2004,https://boxd.it/27y8,3
2024-03-11,Hancock,2008,https://boxd.it/1Zv6,3
2024-03-11,Bad Boys,1995,https://boxd.it/1XVG,3
2024-03-11,Hitch,2005,https://boxd.it/205o,3
2024-03-11,Independence Day,1996,https://boxd.it/2a1w,3.5
2024-03-11,Shark Tale,2004,https://boxd.it/1VYe,3
2024-03-11,Suicide Squad,2016,https://boxd.it/9row,2
2024-03-11,Barbie,2023,https://boxd.it/bCLK,3.5
2024-03-11,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,3.5
2024-03-11,The Other Guys,2010,https://boxd.it/1rtq,3
2024-03-11,Ted,2012,https://boxd.it/2pgc,3
2024-03-11,Deadpool 2,2018,https://boxd.it/dlLM,3.5
2024-03-11,The Creator,2023,https://boxd.it/oXWq,3.5
2024-03-11,Schindler's List,1993,https://boxd.it/2aq2,4.5
2024-03-11,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2024-03-11,Toy Story,1995,https://boxd.it/29qA,4
2024-03-11,Star Wars,1977,https://boxd.it/72s,4
2024-03-11,Mean Girls,2004,https://boxd.it/1VNg,3.5
2024-03-11,Dead Poets Society,1989,https://boxd.it/2aSg,4
2024-03-11,The Social Network,2010,https://boxd.it/17ue,3
2024-03-11,The Intouchables,2011,https://boxd.it/2FT0,4
2024-03-11,The Imitation Game,2014,https://boxd.it/6aig,3.5
2024-03-11,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2024-03-11,Superbad,2007,https://boxd.it/20hO,3.5
2024-03-11,Mission: Impossible,1996,https://boxd.it/29d2,3
2024-03-11,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,4
2024-03-11,The Revenant,2015,https://boxd.it/8H5e,3
2024-03-11,The Green Mile,1999,https://boxd.it/2agG,4
2024-03-11,Grease,1978,https://boxd.it/29YW,3
2024-03-11,Life of Pi,2012,https://boxd.it/37pC,3
2024-03-11,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,3.5
2024-03-11,Pitch Perfect,2012,https://boxd.it/3OsE,2.5
2024-03-11,The Incredibles,2004,https://boxd.it/1XLm,3.5
2024-03-11,The Hangover,2009,https://boxd.it/1GjK,3
2024-03-11,The Bucket List,2007,https://boxd.it/20Ye,3
2024-03-11,Return of the Jedi,1983,https://boxd.it/27Vm,4
2024-03-11,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3
2024-03-11,50/50,2011,https://boxd.it/10Tw,3.5
2024-03-11,Glass Onion,2022,https://boxd.it/oCkK,3.5
2024-03-11,Inside Out,2015,https://boxd.it/4KHC,3.5
2024-03-11,Godzilla Minus One,2023,https://boxd.it/zu4c,4
2024-03-11,Mamma Mia!,2008,https://boxd.it/1Tnq,3.5
2024-03-11,Twilight,2008,https://boxd.it/1Zui,0.5
2024-03-11,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3.5
2024-03-11,Shrek 2,2004,https://boxd.it/29z8,4
2024-03-11,Clueless,1995,https://boxd.it/1Ygk,3
2024-03-11,Jennifer's Body,2009,https://boxd.it/1Efw,3
2024-03-12,Enemy,2013,https://boxd.it/5xtO,4
2024-03-17,The Last Journey,2024,https://boxd.it/KeNi,4.5
2024-03-17,Passengers,2016,https://boxd.it/8lFu,3
2024-03-17,Arctic,2018,https://boxd.it/gc1Q,3
2024-03-22,Poor Things,2023,https://boxd.it/tNWU,4.5
2024-03-25,The Devil All the Time,2020,https://boxd.it/i2tY,3.5
2024-03-25,Bruce Almighty,2003,https://boxd.it/2aCC,3
2024-03-25,Hot Rod,2007,https://boxd.it/1X9C,3.5
2024-03-31,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,4
2024-04-01,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2
2024-04-01,21 Jump Street,2012,https://boxd.it/J0,3.5
2024-04-01,Paul,2011,https://boxd.it/13uE,3
2024-04-01,Yes Man,2008,https://boxd.it/1WPW,3
2024-04-01,Naked,2017,https://boxd.it/fmDe,1
2024-04-01,Downsizing,2017,https://boxd.it/9Ajq,1
2024-04-01,The Karate Kid,2010,https://boxd.it/15HA,2.5
2024-04-01,Love Actually,2003,https://boxd.it/2aeU,3
2024-04-01,Shrek,2001,https://boxd.it/29zi,4
2024-04-01,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/1LW8,4.5
2024-04-01,Little Miss Sunshine,2006,https://boxd.it/29EW,3
2024-04-02,Watch the Skies,2022,https://boxd.it/yvV0,3
2024-04-02,Deadpool,2016,https://boxd.it/9fOC,3.5
