name,rating,genres,avg_user_rating
mickey-17,★★★★,"Comedy, Adventure, Science Fiction",3.7
companion-2025,★★★★,"Thriller, Horror, Science Fiction, Comedy",3.5
nosferatu-2024,★★★½,"Fantasy, Horror",3.7
gladiator-ii,★★★★,"Drama, Action, Adventure",3.3
the-wild-robot,★★★★½,"Family, Science Fiction, Animation",4.2
we-live-in-time,★★★½,"Drama, Romance",3.7
conclave,★★★½,"Drama, Thriller, Mystery",3.9
better-man-2024,★½,"Music, Drama",3.8
alien-romulus,★★★★,"Science Fiction, Horror",3.6
deadpool-wolverine,★★★,"Science Fiction, Action, Comedy",3.5
a-quiet-place-day-one,★★★,"Thriller, Science Fiction, Horror",3.2
maxxxine,★★★★,"Crime, Horror, Mystery",3.1
inside-out-2-2024,★★★★,"Comedy, Family, Animation, Adventure",3.6
summer-times-2024,★★½,"Music, Drama",3.4
flow-2024,★★★½,"Adventure, Fantasy, Animation",4.1
anora,★★★½,"Drama, Romance, Comedy",3.9
the-substance,★★★★,"Horror, Comedy, Drama, Science Fiction",3.8
the-balconettes,★★½,"Comedy, Horror, Fantasy",3.3
the-last-journey-2024,★★★★½,Documentary,3.8
dune-part-two,★★★★★,"Adventure, Science Fiction",4.4
a-real-pain,★★½,"Comedy, Drama",3.7
a-heart-is-always-red,★★★½,"Music, Documentary",3.6
the-remarkable-life-of-ibelin,★★★★,"Documentary, Animation",4.1
godzilla-minus-one,★★★★,"Horror, Science Fiction, Action",4.1
saw-x,★★½,"Thriller, Horror, Mystery",3.2
the-creator-2023,★★★½,"Action, Science Fiction, Adventure",3.3
dream-scenario,★★½,"Comedy, Fantasy",3.4
poor-things-2023,★★★★½,"Romance, Science Fiction, Comedy",4.0
the-holdovers,★★★★,"Comedy, Drama",4.2
teenage-mutant-ninja-turtles-mutant-mayhem,★★★,"Action, Comedy, Animation, Science Fiction",3.8
oppenheimer-2023,★★★★½,"History, Drama",4.2
barbie,★★★½,"Comedy, Adventure",3.8
spider-man-across-the-spider-verse,★★★★★,"Animation, Adventure, Science Fiction, Action",4.4
asteroid-city,★★★½,"Comedy, Drama",3.5
club-zero,★★★,"Comedy, Thriller, Drama",2.9
guardians-of-the-galaxy-vol-3,★★★★,"Action, Adventure, Science Fiction, Comedy",4.0
john-wick-chapter-4,★★½,"Action, Thriller, Crime",3.9
ant-man-and-the-wasp-quantumania,★★½,"Adventure, Science Fiction, Action",2.2
watch-the-skies-2022,★★★,"Science Fiction, Adventure",3.2
avatar-the-way-of-water,★★★,"Action, Adventure, Science Fiction",3.6
