,name,Rating
0,a-complete-unknown,3.5
1,bonjour-tristesse-2024,4.0
2,alien-romulus,2.0
3,blur-to-the-end,3.0
4,one-day-2024,4.0
5,dune-part-two,3.5
6,hit-man-2023,1.5
7,poor-things-2023,3.0
8,the-boy-and-the-heron,4.5
9,barbie,
10,no-hard-feelings-2023,1.5
11,indiana-jones-and-the-dial-of-destiny,1.0
12,burn-all-my-letters,0.5
13,elvis-2022,0.5
14,sick-of-myself,2.5
15,triangle-of-sadness,4.0
16,corsage,2.0
17,clark-2022,4.0
18,fantastic-beasts-the-secrets-of-dumbledore,
19,everything-everywhere-all-at-once,3.5
20,uncharted-2022,1.0
21,tick-tick-boom-2021,2.5
22,dune-2021,3.0
23,the-french-dispatch,
24,the-worst-person-in-the-world,1.0
25,we-are-who-we-are,5.0
26,another-round,4.5
27,dating-amber,4.0
28,normal-people-2020,5.0
29,little-women-2019,3.0
30,jojo-rabbit,
31,once-upon-a-time-in-hollywood,
32,portrait-of-a-lady-on-fire,4.0
33,eighth-grade,
34,ted-show-me-love,
35,i-tonya,
36,borg-vs-mcenroe,
37,lady-bird,5.0
38,the-shape-of-water,
39,bpm-beats-per-minute,3.0
40,ghost-in-the-shell-2017,
41,baby-driver,3.0
42,call-me-by-your-name,5.0
43,rogue-one-a-star-wars-story,
44,doctor-strange-2016,
45,split-2016,2.5
46,a-serious-game,5.0
47,la-la-land,4.5
48,bad-moms,2.5
49,the-neon-demon,
50,everybody-wants-some,
51,zoolander-2,
52,naomi-and-elys-no-kiss-list,
53,girls-lost,2.5
54,the-danish-girl,4.0
55,the-circle-2015,
56,me-and-earl-and-the-dying-girl,
57,gentlemen,5.0
58,gone-girl,3.5
59,my-so-called-father,
60,the-grand-budapest-hotel,
61,anchorman-2-the-legend-continues,
62,the-wolf-of-wall-street,3.5
63,the-secret-life-of-walter-mitty-2013,4.0
64,her,
65,waltz-for-monica,4.0
66,shed-no-tears-2013,4.0
67,about-time,
68,love-and-lemons,
69,beautiful-creatures-2013,4.0
70,dont-ever-wipe-tears-without-gloves,5.0
71,life-of-pi,
72,the-perks-of-being-a-wallflower,5.0
73,spring-breakers,
74,love-is-all-you-need,4.0
75,frances-ha,5.0
76,dark-shadows,3.0
77,lol-2012,
78,the-art-of-getting-by,1.0
79,drive-2011,2.0
80,red-riding-hood-2011,
81,tangled-2010,3.0
82,easy-a,4.0
83,simple-simon,3.0
84,black-swan,3.5
85,scott-pilgrim-vs-the-world,3.0
86,letters-to-juliet,4.0
87,never-let-me-go-2010,3.5
88,kick-ass,
89,fantastic-mr-fox,
90,jennifers-body,3.5
91,coraline,3.5
92,500-days-of-summer,2.0
93,ponyo,2.5
94,the-dark-knight,5.0
95,the-darjeeling-limited,5.0
96,into-the-wild,
97,juno,2.0
98,2-days-in-paris,3.0
99,kidz-in-da-hood,3.0
100,borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,
101,the-devil-wears-prada,3.0
102,marie-antoinette-2006,5.0
103,little-miss-sunshine,4.0
104,pride-prejudice,
105,corpse-bride,
106,charlie-and-the-chocolate-factory,
107,the-life-aquatic-with-steve-zissou,
108,kniven-i-hjartat,3.0
109,howls-moving-castle,4.5
110,anchorman-the-legend-of-ron-burgundy,
111,the-notebook,
112,kill-bill-vol-2,5.0
113,the-girl-next-door-2004,3.0
114,kill-bill-vol-1,5.0
115,the-dreamers,3.0
116,lost-in-translation,
117,uptown-girls,2.5
118,evil,3.5
119,kopps,3.0
120,the-royal-tenenbaums,4.0
121,zoolander,5.0
122,spirited-away,
123,moulin-rouge-2001,
124,amelie,3.0
125,high-fidelity,2.0
126,american-psycho,3.5
127,the-talented-mr-ripley,5.0
128,girl-interrupted,3.0
129,fight-club,
130,the-ninth-gate,3.0
131,american-pie,3.0
132,the-virgin-suicides,3.0
133,notting-hill,
134,10-things-i-hate-about-you,4.0
135,the-matrix,
136,show-me-love,3.0
137,fear-and-loathing-in-las-vegas,4.0
138,the-big-lebowski,
139,good-will-hunting,1.0
140,glappet,4.0
141,ghost-in-the-shell,3.0
142,clueless,4.0
143,la-haine,4.0
144,before-sunrise,3.0
145,little-women-1994,4.0
146,interview-with-the-vampire,3.0
147,leon-the-professional,4.0
148,the-shawshank-redemption,0.5
149,pulp-fiction,3.0
150,the-nightmare-before-christmas,
151,true-romance,
152,dazed-and-confused,3.0
153,orlando,3.5
154,edward-scissorhands,
155,pretty-woman,
156,kikis-delivery-service,2.5
157,dead-poets-society,5.0
158,heathers,3.0
159,my-neighbor-totoro,4.0
160,dirty-dancing,2.5
161,pretty-in-pink,
162,the-breakfast-club,2.5
163,paris-texas,4.0
164,et-the-extra-terrestrial,
165,alien,3.5
166,the-rocky-horror-picture-show,4.0
167,the-sound-of-music,5.0
168,vivre-sa-vie,4.0
169,lolita,
170,breathless,3.0
171,purple-noon,3.0
172,1984,3.0
173,rebel-without-a-cause,
174,summer-interlude,4.0
175,citizen-kane,
