Date,Name,Year,Letterboxd URI,Rating
2022-09-04,Nope,2022,https://boxd.it/sDCe,3
2022-09-04,The Crown Jewels,2011,https://boxd.it/2mZI,5
2022-09-04,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-09-04,Elvis,2022,https://boxd.it/mK4w,3
2022-09-04,The Batman,2022,https://boxd.it/eDGs,1
2022-09-04,Parasite,2019,https://boxd.it/hTha,5
2022-09-04,Midsommar,2019,https://boxd.it/jhxe,5
2022-09-04,Spring Breakers,2012,https://boxd.it/421s,3
2022-09-04,The Bling Ring,2013,https://boxd.it/3lPY,3
2022-09-04,Room,2015,https://boxd.it/7T0y,4
2022-09-04,The Florida Project,2017,https://boxd.it/dMG0,5
2022-09-04,Lady Bird,2017,https://boxd.it/dGNE,3
2022-09-04,Hot Summer Nights,2017,https://boxd.it/bFIE,3
2022-09-04,X,2022,https://boxd.it/sxVa,4
2022-09-04,Dunkirk,2017,https://boxd.it/d0Y6,2
2022-09-04,Call Me by Your Name,2017,https://boxd.it/dYmm,5
2022-09-04,Game Night,2018,https://boxd.it/fRtu,4
2022-09-04,Hereditary,2018,https://boxd.it/hNVe,3
2022-09-04,Crazy Rich Asians,2018,https://boxd.it/gfnK,4
2022-09-04,A Star Is Born,2018,https://boxd.it/aXgc,3
2022-09-04,Us,2019,https://boxd.it/gnV6,3
2022-09-04,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3
2022-09-04,Joker,2019,https://boxd.it/h4cS,5
2022-09-04,1917,2019,https://boxd.it/jj4y,5
2022-09-04,Knives Out,2019,https://boxd.it/jWEA,5
2022-09-04,Little Women,2019,https://boxd.it/aSVk,5
2022-09-04,Palm Springs,2020,https://boxd.it/lCXQ,4
2022-09-04,Free Guy,2021,https://boxd.it/k8dm,3
2022-09-04,Tenet,2020,https://boxd.it/leq4,1
2022-09-04,Dune,2021,https://boxd.it/fA7G,1
2022-09-04,Mean Girls,2004,https://boxd.it/1VNg,5
2022-09-04,The Breakfast Club,1985,https://boxd.it/27q4,3
2022-09-04,Booksmart,2019,https://boxd.it/igNS,4
2022-09-04,Hot Rod,2007,https://boxd.it/1X9C,5
2022-09-04,Pride & Prejudice,2005,https://boxd.it/24u8,3
2022-09-04,Easy A,2010,https://boxd.it/17DK,4
2022-09-04,Into the Wild,2007,https://boxd.it/22m2,4
2022-09-04,"Love, Simon",2018,https://boxd.it/g02s,3
2022-09-04,The Northman,2022,https://boxd.it/nK2s,2
2022-09-04,The Fallout,2021,https://boxd.it/tViI,4
2022-09-04,Fresh,2022,https://boxd.it/tCNi,3
2022-09-04,Not Okay,2022,https://boxd.it/vCEY,4
2022-09-04,I Want You Back,2022,https://boxd.it/poyU,3
2022-09-04,Turning Red,2022,https://boxd.it/ipkq,3
2022-09-04,Senior Year,2022,https://boxd.it/u8C2,3
2022-09-04,Malcolm & Marie,2021,https://boxd.it/r5cO,2
2022-09-04,Candyman,2021,https://boxd.it/kHFg,3
2022-09-04,The Guilty,2021,https://boxd.it/kOPW,3
2022-09-04,House of Gucci,2021,https://boxd.it/nVkC,4
2022-09-04,I Care a Lot,2020,https://boxd.it/mcHk,4
2022-09-04,Moxie,2021,https://boxd.it/lsQK,3
2022-09-04,Don't Look Up,2021,https://boxd.it/o0Hc,4
2022-09-04,Old,2021,https://boxd.it/npKI,4
2022-09-04,Escape Room: Tournament of Champions,2021,https://boxd.it/lwCM,4
2022-09-04,Awake,2021,https://boxd.it/mLaA,3
2022-09-04,The Devil All the Time,2020,https://boxd.it/i2tY,2
2022-09-04,The King of Staten Island,2020,https://boxd.it/litG,4
2022-09-04,Spontaneous,2020,https://boxd.it/mjPq,3
2022-09-04,Unpregnant,2020,https://boxd.it/nrH2,3
2022-09-04,Get Duked!,2019,https://boxd.it/llgK,3
2022-09-05,The Craft: Legacy,2020,https://boxd.it/lKYs,2
2022-09-10,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,4.5
2022-09-17,Do Revenge,2022,https://boxd.it/sFiA,5
2022-09-25,Don't Worry Darling,2022,https://boxd.it/mViu,2.5
2022-10-16,Triangle of Sadness,2022,https://boxd.it/hXlq,5
2022-12-22,Luckiest Girl Alive,2022,https://boxd.it/u5Sw,3.5
2022-12-28,Meet Cute,2022,https://boxd.it/vOri,3.5
2023-01-11,Kajillionaire,2020,https://boxd.it/jJDY,4
2023-01-11,Glass Onion,2022,https://boxd.it/oCkK,2.5
2023-01-11,Baby Driver,2017,https://boxd.it/bhF2,3.5
2023-01-11,Her,2013,https://boxd.it/4O24,1.5
2023-01-11,It,2017,https://boxd.it/bC8e,3.5
2023-01-11,10 Things I Hate About You,1999,https://boxd.it/23AO,3.5
2023-01-11,BlacKkKlansman,2018,https://boxd.it/hxL8,3.5
2023-01-11,Coraline,2009,https://boxd.it/1NhQ,3.5
2023-01-11,"I, Tonya",2017,https://boxd.it/dzR0,3
2023-01-11,Promising Young Woman,2020,https://boxd.it/loRE,4
2023-01-11,Sorry to Bother You,2018,https://boxd.it/f21E,3.5
2023-01-11,The Edge of Seventeen,2016,https://boxd.it/d5nu,3.5
