Date,Name,Year,Letterboxd URI,Rating
2024-03-19,Interstellar,2014,https://boxd.it/4VZ8,5
2024-03-19,The Last Journey,2024,https://boxd.it/KeNi,5
2024-03-19,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-03-19,Dune,2021,https://boxd.it/fA7G,4.5
2024-03-19,Tenet,2020,https://boxd.it/leq4,4
2024-03-19,Nope,2022,https://boxd.it/sDCe,3
2024-03-19,Looper,2012,https://boxd.it/ham,4
2024-03-19,Knives Out,2019,https://boxd.it/jWEA,3.5
2024-03-19,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2024-03-19,The Dark Knight Rises,2012,https://boxd.it/H3m,4
2024-03-19,Blade Runner,1982,https://boxd.it/2bcA,3
2024-03-19,Alien: Covenant,2017,https://boxd.it/49UY,3.5
2024-03-19,The Devil All the Time,2020,https://boxd.it/i2tY,4
2024-03-19,Joker,2019,https://boxd.it/h4cS,4
2024-03-19,Parasite,2019,https://boxd.it/hTha,5
2024-03-19,BlacKkKlansman,2018,https://boxd.it/hxL8,3
2024-03-19,The Prestige,2006,https://boxd.it/293w,4.5
2024-03-19,John Wick: Chapter 4,2023,https://boxd.it/mh48,1
2024-03-19,The Batman,2022,https://boxd.it/eDGs,3
2024-03-19,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3
2024-03-19,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,4
2024-03-19,Annihilation,2018,https://boxd.it/9yzm,4
2024-03-19,Black Swan,2010,https://boxd.it/Sw0,3
2024-03-19,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2024-03-19,Hacksaw Ridge,2016,https://boxd.it/azew,4
2024-03-19,The Departed,2006,https://boxd.it/28MA,4
2024-03-19,WALL·E,2008,https://boxd.it/1VEo,4
2024-03-19,The Revenant,2015,https://boxd.it/8H5e,3.5
2024-03-19,Soul,2020,https://boxd.it/ioLA,4
2024-03-19,The Pianist,2002,https://boxd.it/2aqc,4.5
2024-03-19,Gravity,2013,https://boxd.it/GZY,2
2024-03-19,V for Vendetta,2005,https://boxd.it/29Ik,3
2024-03-19,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4
2024-03-19,1917,2019,https://boxd.it/jj4y,4
2024-03-19,Shutter Island,2010,https://boxd.it/1U82,5
2024-03-19,Donnie Darko,2001,https://boxd.it/2b2A,2
2024-03-19,Schindler's List,1993,https://boxd.it/2aq2,5
2024-03-19,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2024-03-19,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,4
2024-03-19,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4
2024-03-19,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3
2024-03-19,Return of the Jedi,1983,https://boxd.it/27Vm,3
2024-03-19,Star Wars,1977,https://boxd.it/72s,3
2024-03-19,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,3
2024-03-19,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,2.5
2024-03-19,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,2.5
2024-03-19,Chernobyl,2019,https://boxd.it/mkbG,5
2024-03-19,Spirited Away,2001,https://boxd.it/2b4m,4
2024-03-19,Timelapse of the Future: A Journey to the End of Time,2019,https://boxd.it/lLLu,5
2024-03-19,Edge of Tomorrow,2014,https://boxd.it/4pD0,4.5
2024-08-14,Inception,2010,https://boxd.it/1skk,5
2024-08-26,Alien: Romulus,2024,https://boxd.it/zGqO,4.5
2024-09-02,Prometheus,2012,https://boxd.it/2s9e,4
2024-09-02,Alien,1979,https://boxd.it/2awY,4.5
2024-09-02,A Quiet Place: Day One,2024,https://boxd.it/sDAi,2.5
2024-09-02,A Quiet Place,2018,https://boxd.it/fVJQ,3.5
2024-09-02,Don't Look Up,2021,https://boxd.it/o0Hc,3.5
2024-09-02,Jojo Rabbit,2019,https://boxd.it/iEBG,5
2024-09-02,Blade Runner 2049,2017,https://boxd.it/b8wK,3
2024-09-02,Fight Club,1999,https://boxd.it/2a9q,3
2024-12-25,Inglourious Basterds,2009,https://boxd.it/1JzG,4
2025-01-01,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4.5
2025-01-01,Se7en,1995,https://boxd.it/29zs,4.5
2025-01-01,The Hunt,2012,https://boxd.it/3wEC,4
2025-01-01,The Creator,2023,https://boxd.it/oXWq,3
2025-01-01,The Matrix,1999,https://boxd.it/2a1m,5
2025-01-01,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2025-01-01,The Imitation Game,2014,https://boxd.it/6aig,3
2025-01-01,Oppenheimer,2023,https://boxd.it/wUow,5
2025-01-01,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,3
2025-01-11,Another Round,2020,https://boxd.it/lkba,3
2025-01-26,American Psycho,2000,https://boxd.it/28Vs,3.5
2025-01-26,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2025-01-26,Ad Astra,2019,https://boxd.it/ePzI,3
2025-01-26,The Intouchables,2011,https://boxd.it/2FT0,4
2025-01-26,Django Unchained,2012,https://boxd.it/2cCk,4
2025-01-26,Batman Begins,2005,https://boxd.it/2aIg,3.5
2025-01-26,The Truman Show,1998,https://boxd.it/18U8,4
2025-01-26,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3.5
2025-01-26,Triangle of Sadness,2022,https://boxd.it/hXlq,4
2025-01-26,Mulholland Drive,2001,https://boxd.it/297o,3.5
2025-02-19,Arrival,2016,https://boxd.it/aNGk,4.5
2025-02-19,Ex Machina,2015,https://boxd.it/7T2k,4
2025-02-19,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2025-03-10,Mickey 17,2025,https://boxd.it/q1Dk,4
2025-03-16,Jurassic Park,1993,https://boxd.it/2aA2,4
2025-03-16,Jurassic Park III,2001,https://boxd.it/2azI,3.5
2025-03-16,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,3
