Date,Name,Year,Letterboxd URI,Rating
2024-03-02,Dune,2021,https://boxd.it/fA7G,3
2024-03-02,Dune: Part Two,2024,https://boxd.it/pUfA,4
2024-03-02,Anyone But You,2023,https://boxd.it/EzA8,3
2024-03-02,Instant Family,2018,https://boxd.it/hHpQ,4
2024-03-02,The Heat,2013,https://boxd.it/4p9a,4
2024-03-02,Burlesque,2010,https://boxd.it/Xfo,5
2024-03-05,The Little Mermaid,2023,https://boxd.it/fVum,3
2024-03-11,Beautiful Wedding,2024,https://boxd.it/FtkK,1
2024-03-14,One Day,2024,https://boxd.it/L1ZM,4.5
2024-03-14,Chef,2014,https://boxd.it/6lCG,4
2024-03-15,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,4
2024-03-20,Normal People,2020,https://boxd.it/q2VY,3.5
2024-03-21,A Walk to Remember,2002,https://boxd.it/1WLq,4.5
2024-03-27,Poor Things,2023,https://boxd.it/tNWU,3.5
2024-03-27,The Boogeyman,2023,https://boxd.it/jnna,2.5
2024-03-28,Love & Death,2023,https://boxd.it/Gdw8,4
2024-03-28,Echoes,2022,https://boxd.it/Cyaa,1
2024-03-28,Black Bird,2022,https://boxd.it/BCSe,5
2024-03-28,Madame Web,2024,https://boxd.it/nwD0,1.5
2024-03-28,The 5th Wave,2016,https://boxd.it/9wbi,3
2024-03-29,"Definitely, Maybe",2008,https://boxd.it/20eU,4.5
2024-03-29,The Half of It,2020,https://boxd.it/m0T4,2
2024-03-29,Mean Girls,2024,https://boxd.it/p6nO,1.5
2024-03-31,Beck 50 - Deadlock,2023,https://boxd.it/DfTC,4
2024-04-01,Booksmart,2019,https://boxd.it/igNS,3
2024-04-02,Raising Helen,2004,https://boxd.it/243w,4
2024-04-04,Miller's Girl,2024,https://boxd.it/CP8U,0.5
2024-04-04,About Time,2013,https://boxd.it/43bI,3.5
2024-04-06,No Hard Feelings,2023,https://boxd.it/xouu,3
2024-04-07,Tag,2018,https://boxd.it/gh7Y,2.5
2024-04-10,Love & Other Drugs,2010,https://boxd.it/UIi,3.5
2024-04-12,There's Something About Mary,1998,https://boxd.it/2aae,1.5
2024-04-22,Baby Reindeer,2024,https://boxd.it/MwSa,3
2024-05-03,The Idea of You,2024,https://boxd.it/vOW6,3
2024-05-06,Up,2009,https://boxd.it/1OEc,4
2024-05-07,Deliver Me,2024,https://boxd.it/MUjo,3
2024-05-09,First Daughter,2004,https://boxd.it/1P0W,2
