Date,Name,Year,Letterboxd URI,Rating
2021-09-10,Hotel Transylvania,2012,https://boxd.it/2DF6,4
2021-09-10,The Suicide Squad,2021,https://boxd.it/fw6O,4
2021-09-10,Bo Burnham: Inside,2021,https://boxd.it/v2uy,5
2021-09-10,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3.5
2021-09-10,Whiplash,2014,https://boxd.it/7bQA,5
2021-09-10,Eighth Grade,2018,https://boxd.it/hDMG,4.5
2021-09-10,Knives Out,2019,https://boxd.it/jWEA,4.5
2021-09-16,The Lego Batman Movie,2017,https://boxd.it/azp0,5
2021-11-11,Palm Springs,2020,https://boxd.it/lCXQ,3.5
2021-11-24,The Truman Show,1998,https://boxd.it/18U8,3.5
2021-11-24,The Nice Guys,2016,https://boxd.it/94Hg,3.5
2021-12-12,The French Dispatch,2021,https://boxd.it/jLP8,4
2021-12-24,Last Night in Soho,2021,https://boxd.it/lbJC,3.5
2022-01-02,Sing Street,2016,https://boxd.it/cOo6,4.5
2022-01-09,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,4
2022-02-01,West Side Story,2021,https://boxd.it/iwt0,2
2022-03-09,The Batman,2022,https://boxd.it/eDGs,5
2022-03-19,Turning Red,2022,https://boxd.it/ipkq,4
2022-04-28,The Northman,2022,https://boxd.it/nK2s,3
2022-04-28,Eternals,2021,https://boxd.it/j36o,3
2022-05-03,Meet the Robinsons,2007,https://boxd.it/28Ym,2.5
2022-05-04,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,3
2022-05-04,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3
2022-05-12,Before Sunrise,1995,https://boxd.it/2bcU,5
2022-05-25,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2022-05-25,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2,3.5
2022-05-26,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2022-08-02,Get Out,2017,https://boxd.it/eOCm,5
2022-08-14,Bullet Train,2022,https://boxd.it/qW26,3.5
2022-08-16,Thor: Love and Thunder,2022,https://boxd.it/mMAY,2.5
2022-08-16,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,3.5
