Date,Name,Year,Letterboxd URI,Rating
2022-06-12,Parasite,2019,https://boxd.it/hTha,5
2022-06-12,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2022-06-12,Ghost in the Shell,1995,https://boxd.it/1YYc,5
2022-06-12,Scarface,1983,https://boxd.it/2b7g,2
2022-06-12,GoodFellas,1990,https://boxd.it/29FA,4.5
2022-06-12,American History X,1998,https://boxd.it/2bdo,4
2022-06-12,Good Time,2017,https://boxd.it/fcFu,3.5
2022-06-12,American Psycho,2000,https://boxd.it/28Vs,4
2022-06-12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-06-12,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3.5
2022-06-12,Forrest Gump,1994,https://boxd.it/728,4
2022-06-12,Knives Out,2019,https://boxd.it/jWEA,4
2022-06-12,Don't Look Up,2021,https://boxd.it/o0Hc,4
2022-06-12,Arrival,2016,https://boxd.it/aNGk,4
2022-06-12,Nightmare Alley,2021,https://boxd.it/m0HC,4
2022-06-12,The Power of the Dog,2021,https://boxd.it/m99E,2.5
2022-06-12,Batman Begins,2005,https://boxd.it/2aIg,3.5
2022-06-12,Gone Girl,2014,https://boxd.it/6hQu,4
2022-06-12,Princess Mononoke,1997,https://boxd.it/2b4w,4.5
2022-06-12,Baby Driver,2017,https://boxd.it/bhF2,4
2022-06-12,The Northman,2022,https://boxd.it/nK2s,3.5
2022-06-12,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2022-06-12,Raising Arizona,1987,https://boxd.it/2avQ,2
2022-06-12,Howl's Moving Castle,2004,https://boxd.it/23De,3.5
2022-06-13,Jurassic Park,1993,https://boxd.it/2aA2,4
2022-06-13,Ex Machina,2015,https://boxd.it/7T2k,4
2022-06-13,Se7en,1995,https://boxd.it/29zs,4
2022-06-13,The Road,2009,https://boxd.it/1CWI,4
2022-06-13,Kick-Ass,2010,https://boxd.it/1zaQ,3.5
