Date,Name,Year,Letterboxd URI,Rating
2024-03-11,Lady Bird,2017,https://boxd.it/dGNE,3
2024-03-11,It,2017,https://boxd.it/bC8e,2.5
2024-03-11,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-03-11,Don't Look Up,2021,https://boxd.it/o0Hc,3
2024-03-11,Green Book,2018,https://boxd.it/hErk,4.5
2024-03-11,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2024-03-11,Interstellar,2014,https://boxd.it/4VZ8,4.5
2024-03-11,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,3.5
2024-03-11,The Truman Show,1998,https://boxd.it/18U8,4
2024-03-11,The Road Within,2014,https://boxd.it/6JtS,3.5
2024-03-11,Words on Bathroom Walls,2020,https://boxd.it/j1iW,3.5
2024-03-11,Nightcrawler,2014,https://boxd.it/780m,4
2024-03-11,Baby Driver,2017,https://boxd.it/bhF2,3.5
2024-03-11,21 Jump Street,2012,https://boxd.it/J0,3.5
2024-03-11,22 Jump Street,2014,https://boxd.it/5Fvy,2.5
2024-03-11,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,0.5
2024-03-11,Whiplash,2014,https://boxd.it/7bQA,4
2024-03-11,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2024-03-11,Death Note,2017,https://boxd.it/bOS4,1.5
2024-03-11,Forrest Gump,1994,https://boxd.it/728,4
2024-03-11,Fight Club,1999,https://boxd.it/2a9q,4.5
2024-03-11,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2024-03-11,Creed,2015,https://boxd.it/a2qk,3.5
2024-03-11,Creed II,2018,https://boxd.it/hgl8,3.5
2024-03-11,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2.5
2024-03-11,Jumanji,1995,https://boxd.it/1ZLI,3
2024-03-11,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,2.5
2024-03-11,Back to the Future,1985,https://boxd.it/2b8e,4
2024-03-11,Back to the Future Part II,1989,https://boxd.it/2aYI,3.5
2024-03-11,Back to the Future Part III,1990,https://boxd.it/2aTS,2.5
2024-03-11,Top Gun,1986,https://boxd.it/29JC,3
2024-03-11,Top Gun: Maverick,2022,https://boxd.it/cjr4,3.5
2024-03-11,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,3
2024-03-11,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk,3
2024-03-11,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,2.5
2024-03-11,The Amazing Spider-Man,2012,https://boxd.it/27PI,3
2024-03-11,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,2.5
2024-03-11,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2024-03-11,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4
2024-03-11,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,3
2024-03-11,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,4
2024-03-11,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,3
2024-03-11,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,3
2024-03-11,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,2
2024-03-11,Elf,2003,https://boxd.it/1VyK,2.5
2024-03-11,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,3.5
2024-03-11,The Polar Express,2004,https://boxd.it/23am,3
2024-03-11,Soul,2020,https://boxd.it/ioLA,3.5
2024-03-11,Catch Me If You Can,2002,https://boxd.it/29VS,4
2024-03-11,Now You See Me,2013,https://boxd.it/2Bsu,3
2024-03-11,Now You See Me 2,2016,https://boxd.it/99fw,2.5
2024-03-11,Juno,2007,https://boxd.it/210a,2.5
2024-03-11,Kopps,2003,https://boxd.it/1Z8Q,3.5
2024-03-11,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK,3.5
2024-03-11,Sharknado,2013,https://boxd.it/69Qc,0.5
2024-03-11,The Shining,1980,https://boxd.it/29Nu,2
2024-03-11,Truth or Dare,2018,https://boxd.it/grIA,1
2024-03-11,Mean Girls,2004,https://boxd.it/1VNg,1.5
2024-03-11,Grease,1978,https://boxd.it/29YW,2.5
2024-03-11,Dirty Dancing,1987,https://boxd.it/2baY,2.5
2024-03-11,Home Alone,1990,https://boxd.it/29Fg,3
2024-03-11,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6,2
2024-03-11,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3
2024-03-11,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,2.5
2024-03-11,Deadpool,2016,https://boxd.it/9fOC,3.5
2024-03-11,Deadpool 2,2018,https://boxd.it/dlLM,3
2024-03-11,Venom,2018,https://boxd.it/b8wA,3
2024-03-11,Venom: Let There Be Carnage,2021,https://boxd.it/llco,2
2024-03-11,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,4
2024-03-11,My Best Friend Anne Frank,2021,https://boxd.it/tDCK,3
2024-03-11,Good Will Hunting,1997,https://boxd.it/2ahY,4
2024-03-11,Joker,2019,https://boxd.it/h4cS,3.5
2024-03-11,Life in a Year,2020,https://boxd.it/fVNS,2.5
2024-03-11,The Notebook,2004,https://boxd.it/1UNE,3.5
2024-03-11,The Bodyguard,1992,https://boxd.it/29Z6,3.5
2024-03-11,Four Weddings and a Funeral,1994,https://boxd.it/29KA,3
2024-03-11,A Star Is Born,2018,https://boxd.it/aXgc,3.5
2024-03-11,The Fault in Our Stars,2014,https://boxd.it/6BQa,3
2024-03-11,Five Feet Apart,2019,https://boxd.it/jaAK,2.5
2024-03-11,Midnight Sun,2018,https://boxd.it/eP1m,3
2024-03-11,If I Stay,2014,https://boxd.it/7iM6,3
2024-03-11,The Last Song,2010,https://boxd.it/1c5I,3.5
2024-03-11,A Walk to Remember,2002,https://boxd.it/1WLq,3
2024-03-11,All the Bright Places,2020,https://boxd.it/bpfQ,2
2024-03-11,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4
2024-03-11,"Love, Simon",2018,https://boxd.it/g02s,1.5
2024-03-11,Thirteen,2003,https://boxd.it/1UPK,3
2024-03-11,The Half of It,2020,https://boxd.it/m0T4,1.5
2024-03-11,The Edge of Seventeen,2016,https://boxd.it/d5nu,2
2024-03-11,Naked,2017,https://boxd.it/fmDe,1.5
2024-03-11,Wonder,2017,https://boxd.it/ekeY,3.5
2024-03-11,Instant Family,2018,https://boxd.it/hHpQ,2.5
2024-03-11,Fatherhood,2021,https://boxd.it/mq4w,3
2024-03-11,13 Going on 30,2004,https://boxd.it/1X6e,2.5
2024-03-11,The Princess Diaries,2001,https://boxd.it/1XCO,1
2024-03-11,17 Again,2009,https://boxd.it/1Jnq,2
2024-03-11,Clueless,1995,https://boxd.it/1Ygk,2
2024-03-11,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,2
2024-03-11,Easy A,2010,https://boxd.it/17DK,1.5
2024-03-11,Paper Towns,2015,https://boxd.it/8T5g,3
2024-03-11,"Everything, Everything",2017,https://boxd.it/eKx8,2.5
2024-03-11,Grown Ups,2010,https://boxd.it/169a,2.5
2024-03-11,Ted,2012,https://boxd.it/2pgc,2
2024-03-17,Knives Out,2019,https://boxd.it/jWEA,3.5
2024-03-17,Glass Onion,2022,https://boxd.it/oCkK,2
2024-03-17,The Photograph,2020,https://boxd.it/lGgG,3
2024-03-17,The Dark Knight,2008,https://boxd.it/2b0k,4
2024-03-17,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2024-03-17,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,3
2024-03-17,Gone Girl,2014,https://boxd.it/6hQu,4
2024-03-17,La La Land,2016,https://boxd.it/a5fa,2.5
2024-03-17,10 Things I Hate About You,1999,https://boxd.it/23AO,3
2024-03-17,Arrival,2016,https://boxd.it/aNGk,3.5
2024-03-17,The Conjuring,2013,https://boxd.it/4sr2,3
2024-03-17,Drive,2011,https://boxd.it/IG,3
2024-03-17,Liar Liar,1997,https://boxd.it/28sg,3
2024-03-17,Yes Man,2008,https://boxd.it/1WPW,3
2024-03-17,Easy Money,2010,https://boxd.it/1mmE,4
2024-03-17,Easy Money: Hard to Kill,2012,https://boxd.it/3f9C,2.5
2024-03-17,Easy Money III: Life Deluxe,2013,https://boxd.it/5UfK,2
2024-03-17,Jojo Rabbit,2019,https://boxd.it/iEBG,3.5
2024-03-17,The Book Thief,2013,https://boxd.it/67wO,3
2024-03-17,Schindler's List,1993,https://boxd.it/2aq2,4
2024-03-17,Life Is Beautiful,1997,https://boxd.it/29Wm,4
2024-03-17,Downsizing,2017,https://boxd.it/9Ajq,1.5
2024-03-17,The Island,2005,https://boxd.it/28qE,2.5
2024-03-17,Rango,2011,https://boxd.it/QPk,3.5
2024-03-17,About Time,2013,https://boxd.it/43bI,3
2024-03-17,Letters to Juliet,2010,https://boxd.it/19aK,3.5
2024-03-17,Elvis,2022,https://boxd.it/mK4w,2
2024-03-17,Rocketman,2019,https://boxd.it/iehK,3
2024-03-17,The Way Way Back,2013,https://boxd.it/4Gwq,3
2024-03-17,Eighth Grade,2018,https://boxd.it/hDMG,2.5
2024-03-17,Prisoners,2013,https://boxd.it/4E5i,4
2024-03-17,BlacKkKlansman,2018,https://boxd.it/hxL8,3.5
2024-03-17,The Lighthouse,2019,https://boxd.it/icFU,4
2024-03-17,Midsommar,2019,https://boxd.it/jhxe,4
2024-03-17,Paul,2011,https://boxd.it/13uE,3
2024-03-17,Marriage Story,2019,https://boxd.it/hJAw,4
2024-03-17,Jurassic Park,1993,https://boxd.it/2aA2,3.5
2024-03-17,We Are the Best!,2013,https://boxd.it/5Mek,3.5
2024-03-17,LOL,2012,https://boxd.it/2Nas,3
2024-03-17,Stand by Me,1986,https://boxd.it/2aOe,5
2024-03-17,The Goonies,1985,https://boxd.it/1YVC,4
2024-03-17,No Time to Die,2021,https://boxd.it/cPX2,3
2024-03-17,Shrek,2001,https://boxd.it/29zi,4
2024-03-17,My Neighbor Totoro,1988,https://boxd.it/20eA,4
2024-03-17,Ponyo,2008,https://boxd.it/1S0A,3.5
2024-03-17,Spirited Away,2001,https://boxd.it/2b4m,4
2024-03-17,Howl's Moving Castle,2004,https://boxd.it/23De,4
2024-03-17,The Pope's Exorcist,2023,https://boxd.it/stZ8,3
2024-03-17,The Pursuit of Happyness,2006,https://boxd.it/28PE,4
2024-03-17,The Breakfast Club,1985,https://boxd.it/27q4,3.5
2024-03-17,Inception,2010,https://boxd.it/1skk,4
2024-03-17,Superbad,2007,https://boxd.it/20hO,4
2024-03-17,mid90s,2018,https://boxd.it/fxIa,4
2024-03-17,Coco,2017,https://boxd.it/bYJQ,3.5
2024-03-17,The Parent Trap,1998,https://boxd.it/1XJq,3
