Date,Name,Year,Letterboxd URI,Rating
2019-11-18,The Celebration,1998,https://boxd.it/2aCM,5
2019-11-18,Before Sunset,2004,https://boxd.it/2bcg,5
2019-12-11,A Swedish Love Story,1970,https://boxd.it/1joi,5
2022-10-03,Nope,2022,https://boxd.it/sDCe,3.5
2022-10-04,Tolkien,2019,https://boxd.it/gM4G,2.5
2022-10-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3.5
2022-10-05,Do the Right Thing,1989,https://boxd.it/29gA,5
2022-10-05,Moonlight,2016,https://boxd.it/d6bE,4
2022-10-06,Lost in Translation,2003,https://boxd.it/2b0E,5
2022-10-06,Doctor Sleep,2019,https://boxd.it/i5vI,0.5
2022-10-10,Triangle of Sadness,2022,https://boxd.it/hXlq,3.5
2022-10-12,Man on the Roof,1976,https://boxd.it/1vim,4.5
2022-10-17,Pleasure,2021,https://boxd.it/lPcy,3
2022-11-01,Suspiria,2018,https://boxd.it/cioI,3
2022-11-01,Alien,1979,https://boxd.it/2awY,4
2022-11-07,Normal People,2020,https://boxd.it/q2VY,3.5
2022-12-16,Stranger Than Fiction,2006,https://boxd.it/28Za,3
2022-12-21,The 400 Blows,1959,https://boxd.it/2b1C,4
2023-01-12,Apollo 10½: A Space Age Childhood,2022,https://boxd.it/oKiM,3
2023-01-19,Drive,2011,https://boxd.it/IG,3
2023-01-19,Memories of Murder,2003,https://boxd.it/1TSo,4
2023-01-23,Cairo Conspiracy,2022,https://boxd.it/tFAQ,3
2023-02-03,The Whale,2022,https://boxd.it/tw4c,3
2023-02-03,Twin Peaks,1989,https://boxd.it/g8pk,5
2023-02-15,Suspiria,1977,https://boxd.it/1SNW,5
2023-02-15,Glass Onion,2022,https://boxd.it/oCkK,1.5
2023-04-11,Close,2022,https://boxd.it/y4qa,3.5
2023-04-11,Bicycle Thieves,1948,https://boxd.it/23hW,3.5
2023-04-11,Three Colours: Red,1994,https://boxd.it/2b7q,3.5
2023-04-11,Chungking Express,1994,https://boxd.it/1UDa,4
2023-04-12,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,3
2023-04-13,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2023-04-26,Suzume,2022,https://boxd.it/yv7Y,4
2023-06-05,The Darjeeling Limited,2007,https://boxd.it/24as,3
2023-08-07,Oppenheimer,2023,https://boxd.it/wUow,1.5
2023-10-24,Killers of the Flower Moon,2023,https://boxd.it/gHp0,3.5
2023-10-24,Arrival,2016,https://boxd.it/aNGk,2.5
2023-10-24,I Saw the Devil,2010,https://boxd.it/FaK,4
2023-11-29,Harakiri,1962,https://boxd.it/1NTU,4
2023-12-20,It's a Wonderful Life,1946,https://boxd.it/28xA,3
2024-01-06,Priscilla,2023,https://boxd.it/Cz3k,3.5
2024-01-09,The Boy and the Heron,2023,https://boxd.it/ipeM,3
2024-01-14,Wings of Desire,1987,https://boxd.it/2b26,3.5
2024-01-14,Aftersun,2022,https://boxd.it/Arw0,4
2024-02-28,Dune,2021,https://boxd.it/fA7G,3.5
2024-02-28,Dune: Part Two,2024,https://boxd.it/pUfA,3.5
2024-05-17,Napoleon Dynamite,2004,https://boxd.it/20wu,5
2024-08-28,Alien: Romulus,2024,https://boxd.it/zGqO,3
2024-10-13,The Substance,2024,https://boxd.it/zanS,3.5
2024-11-17,Virgo,2024,https://boxd.it/NwC4,5
2024-12-09,Wicked,2024,https://boxd.it/e8ME,2.5
2025-01-07,Nosferatu,2024,https://boxd.it/f5eG,3
2025-02-14,Trainspotting,1996,https://boxd.it/29XY,5
